overallocation,time_conflicts,undersupport,unpreferred,unwilling,groupname
2,1,1,1,23,kensidfn
4,0,1,6,8,kensidfn
3,0,2,1,17,kensidfn
7,1,2,5,4,kensidfn
4,0,3,1,1,kensidfn
2,0,4,1,2,kensidfn
3,1,2,1,15,kensidfn
4,1,1,7,5,kensidfn
3,0,1,3,12,kensidfn
1,0,3,3,3,kensidfn
5,1,1,1,16,kensidfn
1,0,2,2,7,kensidfn
6,3,0,6,11,kensidfn
3,0,1,4,11,kensidfn
5,0,1,1,19,kensidfn
4,0,2,0,16,kensidfn
2,0,3,2,2,kensidfn
4,3,0,2,15,kensidfn
3,1,1,0,19,kensidfn
1,3,1,2,8,kensidfn
7,4,0,1,13,kensidfn
5,3,0,1,18,kensidfn
2,0,3,0,3,kensidfn
4,1,1,6,6,kensidfn
1,0,3,2,4,kensidfn
6,1,1,6,5,kensidfn
2,3,1,1,16,kensidfn
2,1,2,0,17,kensidfn
0,0,5,0,2,kensidfn
1,0,4,2,2,kensidfn
9,2,2,4,2,kensidfn
7,1,1,5,5,kensidfn
0,0,4,0,9,kensidfn
1,0,3,0,5,kensidfn
7,0,2,5,5,kensidfn
6,3,0,4,12,kensidfn
7,1,1,6,4,kensidfn
0,0,6,0,0,kensidfn
5,4,0,6,7,kensidfn
0,2,3,7,5,kensidfn
0,4,2,4,15,kensidfn
4,0,5,1,0,kensidfn
4,4,0,1,21,kensidfn
7,0,2,6,4,kensidfn
3,1,1,7,7,kensidfn
0,0,5,1,1,kensidfn
4,1,2,6,5,kensidfn
2,4,0,3,23,kensidfn
2,1,4,3,0,kensidfn
0,0,3,9,9,kensidfn
2,0,1,4,12,kensidfn
0,0,2,9,10,kensidfn
1,1,1,5,15,kensidfn
2,0,3,4,1,kensidfn
4,1,2,1,6,kensidfn
3,3,2,1,7,kensidfn
0,2,4,6,3,kensidfn
3,3,2,4,4,kensidfn
3,1,2,7,5,kensidfn
3,4,0,0,27,kensidfn
8,2,2,5,2,kensidfn
3,0,1,5,9,kensidfn
2,2,1,0,24,kensidfn
1,3,2,1,14,kensidfn
0,0,3,0,10,kensidfn
0,4,2,5,13,kensidfn
6,2,2,3,5,kensidfn
5,3,0,2,14,kensidfn
0,0,4,2,5,kensidfn
2,0,1,6,10,kensidfn
6,1,2,6,4,kensidfn
